"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","59.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","54","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.6","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.7","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.2","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.3","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","59.2","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","58.7","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","59.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","BOUNDARY","021","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.5","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","CLEARWATER","035","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","61.7","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","58.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","KOOTENAI","055","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","58.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","LATAH","057","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","LEWIS","061","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.2","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","NEZ PERCE","069","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","NORTH","10","SHOSHONE","079","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.7","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","BLAINE","013","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.5","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","CAMAS","025","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","CASSIA","031","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","54.1","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","GOODING","047","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","JEROME","053","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","54.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","LINCOLN","063","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","53.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","MINIDOKA","067","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.3","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","TWIN FALLS","083","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","53.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","ADA","001","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","56.7","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","ADAMS","003","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","60","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","BOISE","015","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","63","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","54.8","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","ELMORE","039","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","57.3","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","58.2","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","OWYHEE","073","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.4","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","PAYETTE","075","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","55.9","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","VALLEY","085","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","59","6.9"
"CENSUS","2017","END OF DEC","","COUNTY","IDAHO","16","SOUTHWEST","70","WASHINGTON","087","","","00000000","","PRODUCERS","PRODUCERS - AGE, AVG, MEASURED IN YEARS","TOTAL","NOT SPECIFIED","58.1","6.9"
